,k2,k3
0,0.7368900959494543,0.7187617117905637
1,0.785403719753729,0.8004287100371626
2,0.7482729047623066,0.060572932085086593
3,0.7833639734870986,0.1035677392899332
4,0.7671755260132802,0.09736044296679294
5,0.8844608729533359,0.7642524474780523
6,0.7329938138443358,0.779801841681975
7,0.7347631693310004,0.10642492783852717
8,0.7613105515424048,0.0924294546309581
9,0.7349521302037406,0.0698171837244874
10,0.901055287522377,0.7813253857989764
11,0.7481298879256494,0.10360681540257191
12,0.7431807253694824,0.7892661248009117
13,0.7282158074872545,0.08049750685417102
14,0.7037022781104166,0.7818575614348899
15,0.780507250593981,0.0850548424392792
16,0.7815466933351168,0.1050496544765781
17,0.8970291655583456,0.07755098446961531
18,0.7817055179912026,0.084750383941957
19,0.7425601709909552,0.0900094549424446
20,0.7651996041005841,0.09807557013637966
21,0.8990403501528873,0.08121283748457887
22,0.7203609271689593,0.07941198545120884
23,0.0831515839596704,0.08933397907819528
24,0.7540004363997532,0.7801802124679
25,0.755033534089586,0.10168316510126865
26,0.8989467825210552,0.768600598358076
27,0.7542628534475321,0.09074025256265593
28,0.08214538954686125,0.09503763556748701
29,0.7181187651315324,0.7591518755985233
30,0.7358369478121201,0.07828879781991548
31,0.768211403066272,0.09698461210437695
32,0.7555064756117053,0.08354565269848448
33,0.7378074662270637,0.09377729248177692
34,0.7275267811303321,0.7723276298800705
35,0.7239663544387553,0.08142040375374407
36,0.7236742863343679,0.0770819021849478
37,0.9126630270841422,0.07985697892996094
38,0.9987921995479425,0.1174783697891775
39,0.7566375839600229,0.11281990993880359
40,0.7654551558739219,0.09701902578311042
41,0.893200192825341,0.7835096159664153
42,0.7371117808508889,0.08447813763430212
43,0.7572090538281996,0.07862804162953169
44,0.7154840626297786,0.7741716605249536
45,0.7634238045125826,0.09928759134257381
46,0.6960332373390195,0.7681779178661717
47,0.7749165611329244,0.1056976353726512
48,0.8936863939120334,0.07601172873252157
49,0.7215644663172364,0.08900637561241355
50,0.7499047083184613,0.09288666131407802
51,0.7482130366751583,0.09014506602115818
52,0.7568268185099393,0.08145941643542443
53,0.9001980908109065,0.08788220122643974
54,0.7793598996559652,0.08383392714339644
55,0.7523404694636766,0.08464999040005601
56,0.7751269750368733,0.08424423737354987
57,0.9037731516452852,0.8021135205168841
58,0.7444635463954401,0.7787292241954087
59,0.7601876188256552,0.09264165926846522
60,0.8993868616118833,0.7899640810801261
61,0.736349704714814,0.7812370045154396
62,0.8996525705346134,0.06391179394350784
63,0.7340989124250475,0.08715877450678751
64,0.8917385319517166,0.11657234325526346
65,0.7596709172081945,0.10488033683603354
66,0.7506499956993724,0.09869654491838513
67,0.8944626031289467,0.11646595123760067
68,0.7355076833148207,0.09044779711171294
69,0.7476268591567575,0.07381500508021947
70,0.9181099857978663,0.1206136791751639
71,0.7841036777044914,0.7870843924235187
72,0.7415439951771199,0.0763162866238197
73,0.8781543670672532,0.771001936106196
74,0.7646265988135588,0.09302380726565272
75,0.9067276801520572,0.7892228359134912
76,0.7898258106318763,0.10331976662980877
77,0.7948621856368041,0.09763034574172152
78,0.8851268810436873,0.06705431011710362
79,0.7417519861802505,0.09467969758992098
80,0.7501813231699548,0.7854847430340566
81,0.7384706210820992,0.08821979182774924
82,0.7143787267856692,0.7730761382458025
83,0.7062642831292558,0.7744164807336226
84,0.7762810017637631,0.08937325008292558
85,0.7819365864570035,0.10879125098531961
86,0.7448883868957602,0.07787533146052315
87,0.06529864517191224,0.07196463809966415
88,0.7508434857975423,0.7699123974458983
89,0.7547151519859796,0.08574052858872579
90,0.07268186403910713,0.08408826995279198
91,0.69197080412929,0.7655847189867514
92,0.7654481724447793,0.08099231871865921
93,0.773088417005485,0.7802719019587561
94,0.7359266987986932,0.0745837369973975
95,0.7843313620757482,0.11461014316822911
96,0.7222387820254986,0.7829506547735475
97,0.7529350284168098,0.10042092222296241
98,0.7607934378891671,0.10543525951153562
99,0.06418573661945007,0.08032976779820195
100,0.8924078753012372,0.087035138918055
